Date : 2023-05-16 07:39:58
Directory : c:\Users\viliu\Desktop\recipdo_app
Total : 95 files,  24118 codes, 85 comments, 735 blanks, all 24938 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |     15,099 |         15 |          6 |     15,120 |
| JavaScript |         77 |      6,705 |         61 |        613 |      7,379 |
| HTML       |          7 |      1,907 |          0 |        101 |      2,008 |
| CSS        |          2 |        204 |          9 |         14 |        227 |
| XML        |          1 |        203 |          0 |          1 |        204 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         95 |     24,118 |         85 |        735 |     24,938 |
| . (Files)                                                                                                                 |          7 |     12,590 |         16 |         16 |     12,622 |
| __mocks__                                                                                                                 |          1 |          7 |          0 |          1 |          8 |
| components                                                                                                                |         49 |      5,166 |         11 |        345 |      5,522 |
| components\authorizedComponents                                                                                           |         22 |      3,777 |          9 |        234 |      4,020 |
| components\authorizedComponents\addNewProduct                                                                             |          2 |        640 |          2 |         47 |        689 |
| components\authorizedComponents\addProduct                                                                                |          2 |        118 |          0 |          6 |        124 |
| components\authorizedComponents\editProduct                                                                               |          2 |        608 |          0 |         39 |        647 |
| components\authorizedComponents\home                                                                                      |          2 |        269 |          4 |         30 |        303 |
| components\authorizedComponents\pantryDetails                                                                             |          2 |        407 |          0 |         17 |        424 |
| components\authorizedComponents\pantryList                                                                                |          2 |        193 |          0 |         17 |        210 |
| components\authorizedComponents\recipeDetails                                                                             |          2 |        536 |          2 |         30 |        568 |
| components\authorizedComponents\savedRecipes                                                                              |          2 |        242 |          0 |         12 |        254 |
| components\authorizedComponents\search                                                                                    |          2 |        270 |          1 |         12 |        283 |
| components\authorizedComponents\settings                                                                                  |          2 |        229 |          0 |         13 |        242 |
| components\authorizedComponents\statistics                                                                                |          2 |        265 |          0 |         11 |        276 |
| components\common                                                                                                         |         21 |        905 |          0 |         85 |        990 |
| components\common\cards                                                                                                   |         20 |        807 |          0 |         76 |        883 |
| components\common\cards\productCardLarge                                                                                  |          4 |        139 |          0 |         14 |        153 |
| components\common\cards\productCardMedium                                                                                 |          4 |        146 |          0 |         20 |        166 |
| components\common\cards\recipeCardLarge                                                                                   |          4 |        207 |          0 |         14 |        221 |
| components\common\cards\recipeCardMedium                                                                                  |          4 |        153 |          0 |         14 |        167 |
| components\common\cards\recipeCardMediumSafeFood                                                                          |          4 |        162 |          0 |         14 |        176 |
| components\common\dropdown                                                                                                |          1 |         98 |          0 |          9 |        107 |
| components\common\dropdown\profileDropdown                                                                                |          1 |         98 |          0 |          9 |        107 |
| components\unauthorizedComponents                                                                                         |          6 |        484 |          2 |         26 |        512 |
| components\unauthorizedComponents\login                                                                                   |          2 |        153 |          1 |          9 |        163 |
| components\unauthorizedComponents\register                                                                                |          2 |        222 |          0 |          9 |        231 |
| components\unauthorizedComponents\start                                                                                   |          2 |        109 |          1 |          8 |        118 |
| config                                                                                                                    |          1 |         19 |          1 |          4 |         24 |
| config\firebase                                                                                                           |          1 |         19 |          1 |          4 |         24 |
| constants                                                                                                                 |          4 |        120 |          0 |         15 |        135 |
| coverage                                                                                                                  |         14 |      2,551 |         34 |        148 |      2,733 |
| coverage (Files)                                                                                                          |          2 |        208 |          0 |          2 |        210 |
| coverage\lcov-report                                                                                                      |         12 |      2,343 |         34 |        146 |      2,523 |
| coverage\lcov-report (Files)                                                                                              |          6 |        552 |         34 |         60 |        646 |
| coverage\lcov-report\config                                                                                               |          2 |        242 |          0 |         28 |        270 |
| coverage\lcov-report\config\firebase                                                                                      |          2 |        242 |          0 |         28 |        270 |
| coverage\lcov-report\functions                                                                                            |          4 |      1,549 |          0 |         58 |      1,607 |
| functions                                                                                                                 |         10 |      3,097 |         23 |        168 |      3,288 |
| navigation                                                                                                                |          8 |        185 |          0 |         38 |        223 |
| newman                                                                                                                    |          1 |        383 |          0 |          0 |        383 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\viliu\Desktop\recipdo_app\.eslintrc.js                                                                           | JavaScript |         19 |          0 |          1 |         20 |
| c:\Users\viliu\Desktop\recipdo_app\App.js                                                                                 | JavaScript |         44 |          1 |         11 |         56 |
| c:\Users\viliu\Desktop\recipdo_app\__mocks__\expo-constants.js                                                            | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\viliu\Desktop\recipdo_app\app.json                                                                               | JSON       |         18 |         15 |          0 |         33 |
| c:\Users\viliu\Desktop\recipdo_app\babel.config.js                                                                        | JavaScript |          6 |          0 |          1 |          7 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\addNewProduct\AddNewProduct.js                         | JavaScript |        404 |          2 |         41 |        447 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\addNewProduct\addNewProduct.style.js                   | JavaScript |        236 |          0 |          6 |        242 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\addProduct\AddProduct.js                               | JavaScript |         25 |          0 |          3 |         28 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\addProduct\addProduct.style.js                         | JavaScript |         93 |          0 |          3 |         96 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\editProduct\EditProduct.js                             | JavaScript |        372 |          0 |         33 |        405 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\editProduct\editProduct.style.js                       | JavaScript |        236 |          0 |          6 |        242 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\home\Home.js                                           | JavaScript |        159 |          4 |         27 |        190 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\home\home.style.js                                     | JavaScript |        110 |          0 |          3 |        113 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\pantryDetails\PantryDetails.js                         | JavaScript |        179 |          0 |         14 |        193 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\pantryDetails\pantryDetails.style.js                   | JavaScript |        228 |          0 |          3 |        231 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\pantryList\PantryList.js                               | JavaScript |        117 |          0 |         14 |        131 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\pantryList\pantryList.style.js                         | JavaScript |         76 |          0 |          3 |         79 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\recipeDetails\RecipeDetails.js                         | JavaScript |        269 |          2 |         27 |        298 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\recipeDetails\recipeDetails.style.js                   | JavaScript |        267 |          0 |          3 |        270 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\savedRecipes\SavedRecipes.js                           | JavaScript |        108 |          0 |          9 |        117 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\savedRecipes\savedRecipes.style.js                     | JavaScript |        134 |          0 |          3 |        137 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\search\Search.js                                       | JavaScript |        106 |          1 |          9 |        116 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\search\search.styles.js                                | JavaScript |        164 |          0 |          3 |        167 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\settings\Settings.js                                   | JavaScript |        122 |          0 |         10 |        132 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\settings\settings.style.js                             | JavaScript |        107 |          0 |          3 |        110 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\statistics\Statistic.js                                | JavaScript |        148 |          0 |          8 |        156 |
| c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\statistics\statistic.style.js                          | JavaScript |        117 |          0 |          3 |        120 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\productCardLarge\ProductCardLarge.js                           | JavaScript |         38 |          0 |          4 |         42 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\productCardLarge\ProductCardLargeList.js                       | JavaScript |         19 |          0 |          4 |         23 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\productCardLarge\productCardLarge.style.js                     | JavaScript |         61 |          0 |          3 |         64 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\productCardLarge\productCardLargeList.style.js                 | JavaScript |         21 |          0 |          3 |         24 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\productCardMedium\ProductCardMedium.js                         | JavaScript |         55 |          0 |          9 |         64 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\productCardMedium\ProductCardMediumList.js                     | JavaScript |         20 |          0 |          5 |         25 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\productCardMedium\productCardMedium.style.js                   | JavaScript |         62 |          0 |          3 |         65 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\productCardMedium\productCardMediumList.style.js               | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardLarge\RecipeCardLarge.js                             | JavaScript |         40 |          0 |          5 |         45 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardLarge\RecipeCardLargeList.js                         | JavaScript |         19 |          0 |          3 |         22 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardLarge\recipeCardLarge.style.js                       | JavaScript |        141 |          0 |          3 |        144 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardLarge\recipeCardLargeList.style.js                   | JavaScript |          7 |          0 |          3 |         10 |
| c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMediumSafeFood\RecipeCardMediumSafeFood.js           | JavaScript |         42 |          0 |          4 |         46 |
