"filename", "language", "JSON", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\viliu\Desktop\recipdo_app\.eslintrc.js", "JavaScript", 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\viliu\Desktop\recipdo_app\App.js", "JavaScript", 0, 44, 0, 0, 0, 1, 11, 56
"c:\Users\viliu\Desktop\recipdo_app\__mocks__\expo-constants.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\viliu\Desktop\recipdo_app\app.json", "JSON", 18, 0, 0, 0, 0, 15, 0, 33
"c:\Users\viliu\Desktop\recipdo_app\babel.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\addNewProduct\AddNewProduct.js", "JavaScript", 0, 404, 0, 0, 0, 2, 41, 447
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\addNewProduct\addNewProduct.style.js", "JavaScript", 0, 236, 0, 0, 0, 0, 6, 242
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\addProduct\AddProduct.js", "JavaScript", 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\addProduct\addProduct.style.js", "JavaScript", 0, 93, 0, 0, 0, 0, 3, 96
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\editProduct\EditProduct.js", "JavaScript", 0, 372, 0, 0, 0, 0, 33, 405
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\editProduct\editProduct.style.js", "JavaScript", 0, 236, 0, 0, 0, 0, 6, 242
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\home\Home.js", "JavaScript", 0, 159, 0, 0, 0, 4, 27, 190
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\home\home.style.js", "JavaScript", 0, 110, 0, 0, 0, 0, 3, 113
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\pantryDetails\PantryDetails.js", "JavaScript", 0, 179, 0, 0, 0, 0, 14, 193
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\pantryDetails\pantryDetails.style.js", "JavaScript", 0, 228, 0, 0, 0, 0, 3, 231
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\pantryList\PantryList.js", "JavaScript", 0, 117, 0, 0, 0, 0, 14, 131
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\pantryList\pantryList.style.js", "JavaScript", 0, 76, 0, 0, 0, 0, 3, 79
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\recipeDetails\RecipeDetails.js", "JavaScript", 0, 269, 0, 0, 0, 2, 27, 298
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\recipeDetails\recipeDetails.style.js", "JavaScript", 0, 267, 0, 0, 0, 0, 3, 270
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\savedRecipes\SavedRecipes.js", "JavaScript", 0, 108, 0, 0, 0, 0, 9, 117
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\savedRecipes\savedRecipes.style.js", "JavaScript", 0, 134, 0, 0, 0, 0, 3, 137
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\search\Search.js", "JavaScript", 0, 106, 0, 0, 0, 1, 9, 116
"c:\Users\viliu\Desktop\recipdo_app\components\authorizedComponents\search\search.styles.js", "JavaScript", 0, 164, 0, 0, 0, 0, 3, 167
